time x_coord y_coord Vx_velocity Vy_velocity
0 149680000000.0 200000000.0 7940.7 20000.0
10000 149759406875.9 400000000.0 7881.4 19999.9
20000 149838221263.3 599999208.3 7822.3 19999.8
30000 149916443794.9 799996835.8 7763.1 19999.5
40000 149994075101.1 999992095.9 7704.1 19999.2
50000 150071115809.8 1199984204.4 7645.1 19998.8
60000 150147566546.3 1399972379.5 7586.1 19998.3
70000 150223427933.4 1599955842.2 7527.3 19997.8
80000 150298700591.4 1799933815.6 7468.5 19997.2
90000 150373385138.1 1999905525.3 7409.7 19996.5
100000 150447482188.9 2199870199.4 7351.0 19995.7
110000 150520992356.7 2399827068.1 7292.4 19994.8
120000 150593916251.9 2599775364.2 7233.8 19993.9
130000 150666254482.4 2799714322.8 7175.3 19992.9
140000 150738007653.8 2999643181.3 7116.9 19991.8
150000 150809176369.2 3199561179.2 7058.5 19990.6
160000 150879761229.2 3399467558.6 7000.2 19989.4
170000 150949762832.2 3599361563.7 6941.9 19988.1
180000 151019181773.9 3799242440.8 6883.7 19986.7
190000 151088018647.8 3999109438.7 6825.5 19985.2
200000 151156274045.0 4198961808.1 6767.5 19983.7
210000 151223948554.1 4398798802.2 6709.4 19982.1
220000 151291042761.6 4598619676.0 6651.4 19980.4
230000 151357557251.2 4798423687.1 6593.5 19978.6
240000 151423492604.7 4998210094.9 6535.7 19976.8
250000 151488849401.2 5197978160.9 6477.9 19974.9
260000 151553628217.7 5397727148.8 6420.1 19972.9
270000 151617829628.8 5597456324.5 6362.5 19970.9
280000 151681454206.7 5797164955.7 6304.8 19968.7
290000 151744502521.4 5996852312.2 6247.3 19966.5
300000 151806975140.5 6196517666.1 6189.7 19964.3
310000 151868872629.4 6396160291.2 6132.3 19961.9
320000 151930195551.2 6595779463.4 6074.9 19959.5
330000 151990944466.7 6795374460.5 6017.5 19957.0
340000 152051119934.3 6994944562.5 5960.3 19954.4
350000 152110722510.3 7194489050.9 5903.0 19951.8
360000 152169752748.8 7394007209.6 5845.8 19949.1
370000 152228211201.4 7593498324.2 5788.7 19946.3
380000 152286098417.8 7792961682.0 5731.7 19943.5
390000 152343414945.2 7992396572.6 5674.6 19940.6
400000 152400161328.6 8191802287.1 5617.7 19937.6
410000 152456338110.9 8391178118.6 5560.8 19934.5
420000 152511945832.8 8590523362.0 5503.9 19931.4
430000 152566985032.6 8789837314.1 5447.1 19928.2
440000 152621456246.8 8989119273.2 5390.4 19924.9
450000 152675360009.2 9188368539.8 5333.7 19921.6
460000 152728696851.9 9387584415.9 5277.0 19918.2
470000 152781467304.5 9586766205.2 5220.5 19914.7
480000 152833671894.6 9785913213.4 5163.9 19911.2
490000 152885311147.6 9985024747.7 5107.4 19907.5
500000 152936385586.9 10184100117.1 5051.0 19903.9
510000 152986895733.4 10383138632.1 4994.6 19900.1
520000 153036842106.3 10582139605.3 4938.3 19896.3
530000 153086225222.3 10781102350.5 4882.0 19892.4
540000 153135045596.3 10980026183.4 4825.8 19888.4
550000 153183303741.0 11178910421.3 4769.6 19884.4
560000 153231000166.7 11377754383.1 4713.5 19880.3
570000 153278135382.1 11576557389.2 4657.5 19876.1
580000 153324709893.5 11775318761.8 4601.4 19871.9
590000 153370724205.1 11974037824.4 4545.5 19867.6
600000 153416178819.2 12172713902.4 4489.5 19863.2
